Dataset,Method,N_Features,Classifier,Outer_Fold,Inner_Fold,Split,MCC,F1,Sensitivity,Specificity,BACC,Accuracy
male,mRMR,10,RandomForest,1,0,test,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,10,NeuralNetwork,1,0,test,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,10,NaiveBayes,1,0,test,0.13483997249264842,0.8695652173913043,0.9090909090909091,0.2,0.5545454545454546,0.7777777777777778
male,mRMR,10,LogisticRegression,1,0,test,0.4332001127219817,0.8837209302325582,0.8636363636363636,0.6,0.7318181818181818,0.8148148148148148
male,mRMR,10,AdaBoost,1,0,test,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,10,SVM_RBF,1,0,test,0.7416198487095663,0.9565217391304348,1.0,0.6,0.8,0.9259259259259259
male,mRMR,10,RandomForest_TUNED,1,0,test,0.43822991060110733,0.9130434782608695,0.9545454545454546,0.4,0.6772727272727272,0.8518518518518519
male,mRMR,10,AdaBoost_TUNED,1,0,test,0.3379781783072063,0.888888888888889,0.9090909090909091,0.4,0.6545454545454545,0.8148148148148148
male,mRMR,10,NeuralNetwork_TUNED,1,0,test,0.2636363636363636,0.8636363636363636,0.8636363636363636,0.4,0.6318181818181818,0.7777777777777778
male,mRMR,10,SVM_RBF_TUNED,1,0,test,0.41137667560372115,0.9166666666666666,1.0,0.2,0.6,0.8518518518518519
male,mRMR,10,RandomForest,1,1,val,0.13153419787541176,0.8852459016393444,0.9310344827586207,0.16666666666666666,0.5488505747126436,0.8
male,mRMR,10,RandomForest,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,NeuralNetwork,1,1,val,0.5306686305052324,0.912280701754386,0.896551724137931,0.6666666666666666,0.7816091954022988,0.8571428571428571
male,mRMR,10,NeuralNetwork,1,1,train,0.8345229603962802,0.962962962962963,0.9285714285714286,1.0,0.9642857142857143,0.9411764705882353
male,mRMR,10,NaiveBayes,1,1,val,0.5514416337357292,0.9333333333333333,0.9655172413793104,0.5,0.7327586206896552,0.8857142857142857
male,mRMR,10,NaiveBayes,1,1,train,0.5022146273064424,0.9217391304347826,0.9464285714285714,0.5,0.7232142857142857,0.8676470588235294
male,mRMR,10,LogisticRegression,1,1,val,0.6550918874579329,0.9285714285714286,0.896551724137931,0.8333333333333334,0.8649425287356323,0.8857142857142857
male,mRMR,10,LogisticRegression,1,1,train,0.7126966450997984,0.9345794392523364,0.8928571428571429,0.9166666666666666,0.9047619047619048,0.8970588235294118
male,mRMR,10,AdaBoost,1,1,val,0.5977011494252874,0.9310344827586207,0.9310344827586207,0.6666666666666666,0.7988505747126436,0.8857142857142857
male,mRMR,10,AdaBoost,1,1,train,0.9521519871288442,0.9909909909909909,0.9821428571428571,1.0,0.9910714285714286,0.9852941176470589
male,mRMR,10,SVM_RBF,1,1,val,0.5996568753954697,0.9090909090909091,0.8620689655172413,0.8333333333333334,0.8477011494252873,0.8571428571428571
male,mRMR,10,SVM_RBF,1,1,train,0.8345229603962802,0.962962962962963,0.9285714285714286,1.0,0.9642857142857143,0.9411764705882353
male,mRMR,10,RandomForest_TUNED,1,1,val,0.13153419787541176,0.8852459016393444,0.9310344827586207,0.16666666666666666,0.5488505747126436,0.8
male,mRMR,10,RandomForest_TUNED,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
male,mRMR,10,AdaBoost_TUNED,1,1,val,0.5977011494252874,0.9310344827586207,0.9310344827586207,0.6666666666666666,0.7988505747126436,0.8857142857142857
male,mRMR,10,AdaBoost_TUNED,1,1,train,1.0,1.0,1.0,1.0,1.0,1.0
